Nota;CPF_CNPJ_Prestador;Data_Cancelamento
99000462;03244495000192;2025/12/22
99000220;41385864000156;2025/12/23
99000221;41385864000156;2025/12/23
99000463;03244495000192;2025/12/22
99000464;03244495000192;2025/12/22
99000468;03244495000192;2025/12/22
99000471;03244495000192;2025/12/22
99000474;03244495000192;2025/12/22
99000476;03244495000192;2025/12/22
99000126;32402650000150;2025/12/23
99000127;32402650000150;2025/12/23
99000004;07279200000255;2025/12/23
99000516;41569982000114;2025/12/22
99000743;18540703000178;2025/12/22
99000135;46549629000196;2025/12/22
99000200;42912040000150;2025/12/23
99000013;38583317000170;2025/12/22
99000136;46549629000196;2025/12/22
99000136;36954214000144;2025/12/23
99000542;41569982000114;2025/12/23
99000543;41569982000114;2025/12/23
99000544;41569982000114;2025/12/23
99007730;23093799000103;2025/12/22
99000038;54068875000154;2025/12/22
99000039;54068875000154;2025/12/22
99000393;38657273000186;2025/12/22
